<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
RI.RTSI,D,20170103,000000,1189.3200000
RI.RTSI,D,20170104,000000,1176.6900000
RI.RTSI,D,20170105,000000,1180.3100000
RI.RTSI,D,20170106,000000,1172.5900000
RI.RTSI,D,20170109,000000,1160.2700000
RI.RTSI,D,20170110,000000,1175.0100000
RI.RTSI,D,20170111,000000,1155.5000000
RI.RTSI,D,20170112,000000,1175.2800000
RI.RTSI,D,20170113,000000,1158.1900000
RI.RTSI,D,20170116,000000,1151.0500000
RI.RTSI,D,20170117,000000,1156.4700000
RI.RTSI,D,20170118,000000,1151.6500000
RI.RTSI,D,20170119,000000,1136.6200000
RI.RTSI,D,20170120,000000,1138.9900000
RI.RTSI,D,20170123,000000,1137.6700000
RI.RTSI,D,20170124,000000,1155.3800000
RI.RTSI,D,20170125,000000,1159.7900000
RI.RTSI,D,20170126,000000,1163.6200000
RI.RTSI,D,20170127,000000,1195.6100000
RI.RTSI,D,20170130,000000,1175.6400000
RI.RTSI,D,20170131,000000,1164.1500000
RI.RTSI,D,20170201,000000,1167.5300000
RI.RTSI,D,20170202,000000,1171.4200000
RI.RTSI,D,20170203,000000,1190.4000000
RI.RTSI,D,20170206,000000,1178.5200000
RI.RTSI,D,20170207,000000,1179.2100000
RI.RTSI,D,20170208,000000,1164.6500000
RI.RTSI,D,20170209,000000,1163.1900000
RI.RTSI,D,20170210,000000,1164.2100000
RI.RTSI,D,20170213,000000,1173.1700000
RI.RTSI,D,20170214,000000,1173.9700000
RI.RTSI,D,20170215,000000,1172.5900000
RI.RTSI,D,20170216,000000,1176.1100000
RI.RTSI,D,20170217,000000,1152.2100000
RI.RTSI,D,20170220,000000,1150.3900000
RI.RTSI,D,20170221,000000,1161.6500000
RI.RTSI,D,20170222,000000,1146.0100000
RI.RTSI,D,20170224,000000,1129.0900000
RI.RTSI,D,20170227,000000,1117.2900000
RI.RTSI,D,20170228,000000,1099.4600000
RI.RTSI,D,20170301,000000,1109.3900000
RI.RTSI,D,20170302,000000,1099.8200000
RI.RTSI,D,20170303,000000,1108.2600000
RI.RTSI,D,20170306,000000,1110.4600000
RI.RTSI,D,20170307,000000,1097.4400000
RI.RTSI,D,20170309,000000,1046.9000000
RI.RTSI,D,20170310,000000,1055.9300000
RI.RTSI,D,20170313,000000,1069.1400000
RI.RTSI,D,20170314,000000,1063.6900000
RI.RTSI,D,20170315,000000,1062.6100000
RI.RTSI,D,20170316,000000,1096.2900000
RI.RTSI,D,20170317,000000,1111.8900000
RI.RTSI,D,20170320,000000,1121.4000000
RI.RTSI,D,20170321,000000,1121.6300000
RI.RTSI,D,20170322,000000,1123.1700000
RI.RTSI,D,20170323,000000,1124.3500000
RI.RTSI,D,20170324,000000,1124.6600000
RI.RTSI,D,20170327,000000,1114.6600000
RI.RTSI,D,20170328,000000,1125.5800000
RI.RTSI,D,20170329,000000,1124.9100000
RI.RTSI,D,20170330,000000,1137.2600000
RI.RTSI,D,20170331,000000,1113.7600000
RI.RTSI,D,20170403,000000,1122.9800000
RI.RTSI,D,20170404,000000,1135.9800000
RI.RTSI,D,20170405,000000,1152.4900000
RI.RTSI,D,20170406,000000,1148.7500000
RI.RTSI,D,20170407,000000,1113.4500000
RI.RTSI,D,20170410,000000,1084.2600000
RI.RTSI,D,20170411,000000,1091.0800000
RI.RTSI,D,20170412,000000,1078.7200000
RI.RTSI,D,20170413,000000,1089.3900000
RI.RTSI,D,20170414,000000,1073.1500000
RI.RTSI,D,20170417,000000,1094.2700000
RI.RTSI,D,20170418,000000,1077.2100000
RI.RTSI,D,20170419,000000,1068.5500000
RI.RTSI,D,20170420,000000,1083.3500000
RI.RTSI,D,20170421,000000,1084.1700000
RI.RTSI,D,20170424,000000,1116.5800000
RI.RTSI,D,20170425,000000,1120.8900000
RI.RTSI,D,20170426,000000,1119.1100000
RI.RTSI,D,20170427,000000,1106.9200000
RI.RTSI,D,20170428,000000,1114.4300000
RI.RTSI,D,20170502,000000,1120.2200000
RI.RTSI,D,20170503,000000,1096.3500000
RI.RTSI,D,20170504,000000,1081.2200000
RI.RTSI,D,20170505,000000,1085.6800000
RI.RTSI,D,20170510,000000,1111.6400000
RI.RTSI,D,20170511,000000,1105.8300000
RI.RTSI,D,20170512,000000,1099.7500000
RI.RTSI,D,20170515,000000,1119.9800000
RI.RTSI,D,20170516,000000,1112.9500000
RI.RTSI,D,20170517,000000,1104.3000000
RI.RTSI,D,20170518,000000,1076.8000000
RI.RTSI,D,20170519,000000,1087.7500000
RI.RTSI,D,20170522,000000,1083.5800000
RI.RTSI,D,20170523,000000,1096.8300000
RI.RTSI,D,20170524,000000,1087.5900000
RI.RTSI,D,20170525,000000,1083.5200000
RI.RTSI,D,20170526,000000,1073.0400000
RI.RTSI,D,20170529,000000,1085.7500000
RI.RTSI,D,20170530,000000,1074.8100000
RI.RTSI,D,20170531,000000,1053.3000000
RI.RTSI,D,20170601,000000,1045.6300000
RI.RTSI,D,20170602,000000,1046.0200000
RI.RTSI,D,20170605,000000,1044.3400000
RI.RTSI,D,20170606,000000,1041.2300000
RI.RTSI,D,20170607,000000,1034.3100000
RI.RTSI,D,20170608,000000,1038.5000000
RI.RTSI,D,20170609,000000,1041.4900000
RI.RTSI,D,20170613,000000,1030.9900000
RI.RTSI,D,20170614,000000,1013.7800000
