<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MTSS,D,20170103,000000,262.6500000
MTSS,D,20170104,000000,259.3000000
MTSS,D,20170105,000000,260.5000000
MTSS,D,20170106,000000,257.0000000
MTSS,D,20170109,000000,258.4000000
MTSS,D,20170110,000000,255.7000000
MTSS,D,20170111,000000,257.1000000
MTSS,D,20170112,000000,257.9500000
MTSS,D,20170113,000000,262.9500000
MTSS,D,20170116,000000,263.3500000
MTSS,D,20170117,000000,265.0000000
MTSS,D,20170118,000000,263.6000000
MTSS,D,20170119,000000,268.0000000
MTSS,D,20170120,000000,272.9000000
MTSS,D,20170123,000000,267.7000000
MTSS,D,20170124,000000,265.7000000
MTSS,D,20170125,000000,268.0000000
MTSS,D,20170126,000000,277.5000000
MTSS,D,20170127,000000,277.0500000
MTSS,D,20170130,000000,276.3500000
MTSS,D,20170131,000000,275.7000000
MTSS,D,20170201,000000,279.0000000
MTSS,D,20170202,000000,272.7000000
MTSS,D,20170203,000000,274.3500000
MTSS,D,20170206,000000,271.9000000
MTSS,D,20170207,000000,275.9000000
MTSS,D,20170208,000000,271.1000000
MTSS,D,20170209,000000,272.2000000
MTSS,D,20170210,000000,272.1000000
MTSS,D,20170213,000000,270.7500000
MTSS,D,20170214,000000,267.6000000
MTSS,D,20170215,000000,273.4500000
MTSS,D,20170216,000000,277.4500000
MTSS,D,20170217,000000,277.5000000
MTSS,D,20170220,000000,281.0000000
MTSS,D,20170221,000000,278.5500000
MTSS,D,20170222,000000,279.0000000
MTSS,D,20170224,000000,277.0500000
MTSS,D,20170227,000000,274.3500000
MTSS,D,20170228,000000,275.5000000
MTSS,D,20170301,000000,273.3000000
MTSS,D,20170302,000000,275.0000000
MTSS,D,20170303,000000,274.5500000
MTSS,D,20170306,000000,273.0000000
MTSS,D,20170307,000000,270.0000000
MTSS,D,20170309,000000,257.0000000
MTSS,D,20170310,000000,255.2000000
MTSS,D,20170313,000000,271.8000000
MTSS,D,20170314,000000,269.0000000
MTSS,D,20170315,000000,260.1000000
MTSS,D,20170316,000000,269.6000000
MTSS,D,20170317,000000,268.1500000
MTSS,D,20170320,000000,275.3500000
MTSS,D,20170321,000000,283.7500000
MTSS,D,20170322,000000,287.5000000
MTSS,D,20170323,000000,290.0000000
MTSS,D,20170324,000000,288.8500000
MTSS,D,20170327,000000,283.0000000
