<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SBER,D,20170103,000000,180.1200000
SBER,D,20170104,000000,175.9500000
SBER,D,20170105,000000,171.9000000
SBER,D,20170106,000000,170.6900000
SBER,D,20170109,000000,168.3500000
SBER,D,20170110,000000,171.6000000
SBER,D,20170111,000000,169.0500000
SBER,D,20170112,000000,168.2700000
SBER,D,20170113,000000,164.9000000
SBER,D,20170116,000000,164.6600000
SBER,D,20170117,000000,165.9800000
SBER,D,20170118,000000,165.2400000
SBER,D,20170119,000000,166.3000000
SBER,D,20170120,000000,167.4900000
SBER,D,20170123,000000,166.7500000
SBER,D,20170124,000000,170.2500000
SBER,D,20170125,000000,170.2600000
SBER,D,20170126,000000,173.7900000
SBER,D,20170127,000000,178.9200000
SBER,D,20170130,000000,174.6000000
SBER,D,20170131,000000,172.2000000
SBER,D,20170201,000000,173.9000000
SBER,D,20170202,000000,172.8300000
SBER,D,20170203,000000,173.8000000
SBER,D,20170206,000000,172.8700000
SBER,D,20170207,000000,173.4700000
SBER,D,20170208,000000,171.2000000
SBER,D,20170209,000000,168.8000000
SBER,D,20170210,000000,165.5000000
SBER,D,20170213,000000,164.7000000
SBER,D,20170214,000000,162.7000000
SBER,D,20170215,000000,163.5000000
SBER,D,20170216,000000,166.4900000
SBER,D,20170217,000000,165.4900000
SBER,D,20170220,000000,165.4400000
SBER,D,20170221,000000,167.0000000
SBER,D,20170222,000000,165.9000000
SBER,D,20170224,000000,165.5100000
SBER,D,20170227,000000,160.9500000
SBER,D,20170228,000000,156.0000000
SBER,D,20170301,000000,160.0000000
SBER,D,20170302,000000,163.4000000
SBER,D,20170303,000000,164.4000000
SBER,D,20170306,000000,162.0000000
SBER,D,20170307,000000,160.9800000
SBER,D,20170309,000000,156.2000000
SBER,D,20170310,000000,157.5000000
SBER,D,20170313,000000,158.9200000
SBER,D,20170314,000000,157.4200000
SBER,D,20170315,000000,156.2000000
SBER,D,20170316,000000,158.3500000
SBER,D,20170317,000000,161.1500000
SBER,D,20170320,000000,163.8000000
SBER,D,20170321,000000,162.9800000
SBER,D,20170322,000000,162.9200000
SBER,D,20170323,000000,164.1500000
SBER,D,20170324,000000,164.5200000
SBER,D,20170327,000000,162.6900000
SBER,D,20170328,000000,163.6600000
SBER,D,20170329,000000,163.2200000
SBER,D,20170330,000000,163.5000000
SBER,D,20170331,000000,159.8000000
SBER,D,20170403,000000,161.8000000
SBER,D,20170404,000000,163.5000000
SBER,D,20170405,000000,168.1000000
SBER,D,20170406,000000,167.4900000
SBER,D,20170407,000000,161.4900000
SBER,D,20170410,000000,155.2000000
SBER,D,20170411,000000,156.0000000
SBER,D,20170412,000000,150.2800000
SBER,D,20170413,000000,152.0000000
SBER,D,20170414,000000,149.2400000
SBER,D,20170417,000000,153.9900000
SBER,D,20170418,000000,153.4000000
SBER,D,20170419,000000,153.6000000
SBER,D,20170420,000000,158.2100000
SBER,D,20170421,000000,159.5900000
SBER,D,20170424,000000,162.5000000
SBER,D,20170425,000000,162.5500000
SBER,D,20170426,000000,165.0500000
SBER,D,20170427,000000,164.6900000
SBER,D,20170428,000000,165.2000000
SBER,D,20170502,000000,166.6400000
SBER,D,20170503,000000,164.7100000
SBER,D,20170504,000000,165.5000000
SBER,D,20170505,000000,165.8000000
SBER,D,20170510,000000,170.8000000
SBER,D,20170511,000000,169.9700000
SBER,D,20170512,000000,167.7000000
SBER,D,20170515,000000,171.3500000
SBER,D,20170516,000000,170.6600000
SBER,D,20170517,000000,169.2400000
SBER,D,20170518,000000,166.5000000
SBER,D,20170519,000000,168.8700000
SBER,D,20170522,000000,168.0300000
SBER,D,20170523,000000,166.3100000
SBER,D,20170524,000000,165.7000000
SBER,D,20170525,000000,164.0500000
SBER,D,20170526,000000,160.7000000
SBER,D,20170529,000000,163.9000000
SBER,D,20170530,000000,161.6400000
SBER,D,20170531,000000,155.9300000
SBER,D,20170601,000000,153.0000000
SBER,D,20170602,000000,157.1400000
SBER,D,20170605,000000,154.7000000
SBER,D,20170606,000000,152.8000000
SBER,D,20170607,000000,152.8200000
SBER,D,20170608,000000,151.9300000
SBER,D,20170609,000000,150.1300000
SBER,D,20170613,000000,146.0000000
SBER,D,20170614,000000,143.0000000
SBER,D,20170615,000000,139.0000000
SBER,D,20170616,000000,141.6300000
SBER,D,20170619,000000,145.0000000
SBER,D,20170620,000000,144.9000000
SBER,D,20170621,000000,143.4900000
SBER,D,20170622,000000,144.2500000
SBER,D,20170623,000000,144.1000000
SBER,D,20170626,000000,144.4900000
SBER,D,20170627,000000,147.1000000
SBER,D,20170628,000000,145.5000000
SBER,D,20170629,000000,143.8000000
SBER,D,20170630,000000,145.5900000
SBER,D,20170703,000000,147.5000000
SBER,D,20170704,000000,149.3900000
SBER,D,20170705,000000,148.9600000
SBER,D,20170706,000000,150.3500000
SBER,D,20170707,000000,152.1600000
SBER,D,20170710,000000,155.0000000
SBER,D,20170711,000000,156.9100000
SBER,D,20170712,000000,160.8500000
SBER,D,20170713,000000,159.9400000
SBER,D,20170714,000000,161.4000000
SBER,D,20170717,000000,161.9800000
SBER,D,20170718,000000,161.7000000
SBER,D,20170719,000000,164.3400000
SBER,D,20170720,000000,163.9300000
SBER,D,20170721,000000,162.1000000
SBER,D,20170724,000000,161.3300000
SBER,D,20170725,000000,160.2200000
SBER,D,20170726,000000,161.5500000
SBER,D,20170727,000000,166.0000000
SBER,D,20170728,000000,165.4000000
SBER,D,20170731,000000,164.5300000
SBER,D,20170801,000000,166.3100000
SBER,D,20170802,000000,169.9000000
SBER,D,20170803,000000,170.0000000
SBER,D,20170804,000000,169.7300000
SBER,D,20170807,000000,172.7900000
SBER,D,20170808,000000,175.7500000
SBER,D,20170809,000000,173.4000000
SBER,D,20170810,000000,172.2000000
SBER,D,20170811,000000,172.0500000
SBER,D,20170814,000000,172.5100000
SBER,D,20170815,000000,172.3300000
SBER,D,20170816,000000,173.0500000
SBER,D,20170817,000000,172.7200000
SBER,D,20170818,000000,169.5000000
SBER,D,20170821,000000,169.9000000
SBER,D,20170822,000000,171.0000000
SBER,D,20170823,000000,175.3000000
SBER,D,20170824,000000,179.8000000
SBER,D,20170825,000000,180.5100000
SBER,D,20170828,000000,181.8500000
SBER,D,20170829,000000,181.8900000
SBER,D,20170830,000000,183.5000000
SBER,D,20170831,000000,183.5100000
SBER,D,20170901,000000,183.6600000
SBER,D,20170904,000000,184.1000000
SBER,D,20170905,000000,184.1400000
SBER,D,20170906,000000,183.1200000
SBER,D,20170907,000000,184.0000000
SBER,D,20170908,000000,185.8900000
SBER,D,20170911,000000,190.5000000
SBER,D,20170912,000000,189.3200000
SBER,D,20170913,000000,189.1000000
SBER,D,20170914,000000,188.6400000
SBER,D,20170915,000000,188.7500000
SBER,D,20170918,000000,188.0400000
SBER,D,20170919,000000,184.8500000
SBER,D,20170920,000000,186.4700000
SBER,D,20170921,000000,187.3800000
SBER,D,20170922,000000,187.5500000
SBER,D,20170925,000000,191.2000000
SBER,D,20170926,000000,192.5400000
SBER,D,20170927,000000,193.7000000
SBER,D,20170928,000000,191.9600000
SBER,D,20170929,000000,192.3300000
SBER,D,20171002,000000,193.0000000
SBER,D,20171003,000000,192.5000000
SBER,D,20171004,000000,192.0300000
SBER,D,20171005,000000,193.7400000
SBER,D,20171006,000000,194.1600000
SBER,D,20171009,000000,194.0000000
SBER,D,20171010,000000,193.2100000
SBER,D,20171011,000000,195.8300000
SBER,D,20171012,000000,195.5100000
SBER,D,20171013,000000,196.4800000
SBER,D,20171016,000000,197.7000000
SBER,D,20171017,000000,197.2000000
SBER,D,20171018,000000,195.3100000
SBER,D,20171019,000000,192.2000000
SBER,D,20171020,000000,192.9700000
SBER,D,20171023,000000,192.3400000
SBER,D,20171024,000000,192.5000000
SBER,D,20171025,000000,192.0400000
SBER,D,20171026,000000,192.7500000
SBER,D,20171027,000000,196.0500000
SBER,D,20171030,000000,195.0000000
SBER,D,20171031,000000,193.8000000
SBER,D,20171101,000000,194.0500000
SBER,D,20171102,000000,193.8500000
SBER,D,20171103,000000,193.8000000
SBER,D,20171107,000000,205.9600000
SBER,D,20171108,000000,209.0900000
SBER,D,20171109,000000,220.0500000
SBER,D,20171110,000000,217.7000000
SBER,D,20171113,000000,216.6100000
SBER,D,20171114,000000,221.4000000
SBER,D,20171115,000000,225.9500000
SBER,D,20171116,000000,227.5000000
SBER,D,20171117,000000,225.6500000
SBER,D,20171120,000000,224.6000000
SBER,D,20171121,000000,231.0000000
SBER,D,20171122,000000,230.2500000
SBER,D,20171123,000000,225.5600000
SBER,D,20171124,000000,228.0000000
SBER,D,20171127,000000,226.7600000
SBER,D,20171128,000000,230.0000000
SBER,D,20171129,000000,228.2000000
SBER,D,20171130,000000,224.3500000
SBER,D,20171201,000000,221.5000000
SBER,D,20171204,000000,224.6000000
SBER,D,20171205,000000,223.9100000
SBER,D,20171206,000000,223.7500000
SBER,D,20171207,000000,219.8100000
SBER,D,20171208,000000,220.8900000
SBER,D,20171211,000000,227.6900000
SBER,D,20171212,000000,227.9000000
SBER,D,20171213,000000,221.8000000
SBER,D,20171214,000000,229.9000000
SBER,D,20171215,000000,226.5300000
SBER,D,20171218,000000,227.4000000
SBER,D,20171219,000000,224.1000000
SBER,D,20171220,000000,226.0000000
SBER,D,20171221,000000,223.6000000
SBER,D,20171222,000000,221.4400000
SBER,D,20171225,000000,223.3000000
SBER,D,20171226,000000,223.5700000
SBER,D,20171227,000000,226.9800000
SBER,D,20171228,000000,224.2000000
SBER,D,20171229,000000,225.2000000
